season,date,tournament,level,classification,classification_evidence,round,surface,home_player,away_player,home_player_id,away_player_id,winner_code,home_set_score,away_set_score,source,match_key
2021,2021-07-05,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Volynets K.,Rakhimova K.,421894,568609,1.0,2.0,0.0,TennisData.app,405525ace03092d6eecae601
2021,2021-07-05,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Zaar L.,Liu C.,470739,737156,2.0,0.0,2.0,TennisData.app,70c1669ab49a05f2fae1e636
2021,2021-07-06,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Arruabarrena L.,Gatto-Monticone G.,386473,534910,1.0,2.0,0.0,TennisData.app,edea4f34b4152bdb68442a62
2021,2021-07-06,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Baindl K.,Vikhlyantseva N.,455355,728537,1.0,2.0,0.0,TennisData.app,aac1e915c395d6a891ae649e
2021,2021-07-06,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Bjorklund M.,Bolsova Zadoinov A.,254032,745434,2.0,0.0,2.0,TennisData.app,257abadc7bbf2f888db187d5
2021,2021-07-06,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Bondar A.,Thandi K. K.,610520,852825,1.0,2.0,0.0,TennisData.app,bb28284d8da47dc06820dbc3
2021,2021-07-06,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Buzarnescu M.,Zlochova Z.,824052,169851,1.0,2.0,0.0,TennisData.app,66d4860af4977407730c4728
2021,2021-07-06,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Di Lorenzo F.,Govortsova O.,703969,261026,2.0,1.0,2.0,TennisData.app,7c3a08acd10f43a328b5641b
2021,2021-07-06,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Inglis M.,Cristian J.,646421,885728,1.0,2.0,1.0,TennisData.app,9cc26c6036ff435ccb392418
2021,2021-07-06,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Kung L.,Lopatetska D.,329751,362293,1.0,2.0,0.0,TennisData.app,f4eecf224d2f851bb0c1cbdb
2021,2021-07-06,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Ostlund F.,Kalinskaya A.,757797,393113,2.0,1.0,2.0,TennisData.app,44b071949cb15df8dfb9440d
